id,max_perplexity,mean_perplexity
1339992,95.87772369384766,38.54160624458676
1253377,23.101755142211914,17.051792008536204
1093152,35.678279876708984,22.29297297341483
1116375,27.620309829711914,15.650360107421875
1395520,44.07828140258789,32.07044802771674
1179443,94.14566040039062,35.33601358958653
1154904,60.06535720825195,38.18485005696615
1184306,31.687374114990234,19.74390001857982
1063543,601.9475708007812,131.68451036725725
1282008,65.26979064941406,28.620108286539715
1305532,27.54983901977539,18.53428955078125
1336674,99.4935531616211,47.25358823140462
1236175,39.160743713378906,18.676161214709282
1084630,61.79813766479492,36.16760075092316
1314651,45.289947509765625,31.364664395650227
1333221,71.15323638916016,37.70589357614517
1390434,55.93836975097656,35.17541694641113
1239341,97.88335418701172,31.926470310130018
1148434,536.494140625,131.9922300338745
1363481,197.76385498046875,108.7525405883789
1305851,46.57950210571289,22.895333170890808
1072404,319.1974792480469,99.29261241640363
1073591,36.03934860229492,34.659006118774414
1136804,40.144622802734375,20.304040972391764
1172031,22.92173957824707,16.056625747680663
1377688,69.04812622070312,69.04812622070312
1172256,159.10104370117188,61.92821529933384
1317540,45.03134536743164,34.2723183631897
1327215,47.452762603759766,26.511683209737143
1147549,53.34580993652344,28.873446464538574
1081241,97.71146392822266,64.33802032470703
1198539,30.6889591217041,19.597301763646744
1191277,177.76480102539062,46.38259747970936
1191252,64.3294906616211,31.245469284057616
1105512,31.955781936645508,18.290237793555626
1051265,73.24754333496094,44.29020849863688
1172937,45.80168151855469,22.773472612554375
1168116,39.87995147705078,22.88600950241089
1342289,63.58948516845703,40.91097068786621
1365816,85.23479461669922,52.62212657928467
1323343,23.06218719482422,14.861267907278878
1144701,43.089168548583984,29.441893284137432
1349982,50.74311447143555,30.50657501220703
1224657,1582.8289794921875,76.98146138872418
1299799,53.82027816772461,19.621043904622397
1204407,151.5872039794922,49.257257064183555
1088610,99.02310180664062,32.39090836842855
1372466,104.03672790527344,59.892473220825195
1320119,76.55035400390625,26.39164400100708
1333396,123.24493408203125,39.34512084722519
1068281,44.68922805786133,35.54863484700521
1099527,75.78821563720703,44.978601932525635
1152586,36.48884582519531,27.79856734805637
1211755,34.23961639404297,17.809877463749476
1304681,250.4812469482422,63.42976810621179
1405920,70.61490631103516,49.51966158548991
1277716,1319.8165283203125,78.22864730834961
1174122,71.7496109008789,35.53843307495117
1355520,320.89788818359375,135.20893383026123
1145965,96.40151977539062,33.72757260004679
1176854,52.12287521362305,22.55370828840468
