id,max_perplexity,mean_perplexity
1245044,221.41319274902344,63.97819030986113
1357465,152.24923706054688,63.26615858078003
1059926,33.52923583984375,24.315832773844402
1354281,119.29780578613281,52.798849995930986
1168289,31.29615592956543,19.97868061065674
1097917,61.20265579223633,27.95616964193491
1298519,38.58680725097656,20.838898340861004
1121252,122.09193420410156,47.40438387129042
1345261,20.372089385986328,16.808860301971436
1178429,60.451419830322266,25.339838529887952
1196859,140.2239990234375,34.12799439430237
1324401,58.92021560668945,26.297185160896994
1182433,77.94676971435547,30.04507879110483
1058539,43.488094329833984,39.25626754760742
1148864,81.78409576416016,36.351517041524254
1051614,53.67729187011719,44.20634937286377
1333433,593.2584838867188,50.125365257263184
1224220,75.00397491455078,47.30217666625977
1238965,44.847877502441406,31.12146250406901
1284766,87.02032470703125,36.018159795690465
1204892,200.76785278320312,66.11883669188528
1372479,119.8899154663086,65.70482788085937
1247214,47.08423614501953,28.38970160484314
1094724,182.954345703125,30.128807141230656
1086392,27.28371810913086,20.75875186920166
1407490,40.246856689453125,32.2258026940482
1413888,35.48788070678711,35.48788070678711
1077189,121.87015533447266,36.94486501481798
1054973,132.3927764892578,72.58356237411499
1333528,67.65922546386719,22.355584955215456
1185542,83.09059143066406,44.601217416616585
1360658,23.571441650390625,23.571441650390625
1314097,1104.2032470703125,99.83185169913553
1174395,45.05768585205078,25.018960189819335
1278258,362.4842529296875,84.09478378295898
1260901,104.09011840820312,32.417800676255
1213141,59.025299072265625,30.05258493423462
1254942,93.10586547851562,35.73675553798675
1276249,50.862369537353516,31.75090252269398
1400166,103.69493865966797,55.60775566101074
1339052,136.53997802734375,29.726553167615617
1178471,26.003799438476562,16.189697980880737
1265678,39.52248001098633,26.036540222167968
1365579,84.79309844970703,39.685013498578755
1166625,50.291072845458984,23.2763334274292
1068148,52.496986389160156,33.58578586578369
1100251,29.707990646362305,20.73127679824829
1199532,90.82516479492188,28.887172393798828
1199512,70.88272857666016,39.32206497192383
1156239,78.51029968261719,27.522563103706606
1059359,54.360816955566406,37.02333221435547
1174472,74.02411651611328,28.16015599568685
1180709,106.15951538085938,39.55736506612677
1165050,94.70907592773438,60.85214106241862
1149094,515.0923461914062,102.06650698184967
1341522,107.83739471435547,41.710272550582886
1332262,214.0747833251953,53.175331115722656
1388898,51.509071350097656,29.359630720955984
1204471,31.3222599029541,23.401623566945393
1139841,193.3698272705078,55.27007375444685
1276368,154.96060180664062,42.18630794684092
1411539,46.42993927001953,27.691822814941407
1222023,173.7256622314453,79.31125768025716
